1636466400000,2021-11-09 14:00:00,ETH/USDT,4812.97000000,4833.29000000,4780.00000000,4794.77000000,17977.16410000,86457718.81233500,44671
1636462800000,2021-11-09 13:00:00,ETH/USDT,4783.44000000,4813.99000000,4780.73000000,4812.98000000,10532.43210000,50548165.84126300,29492
1636459200000,2021-11-09 12:00:00,ETH/USDT,4774.61000000,4789.07000000,4756.84000000,4783.45000000,12199.60940000,58271398.38833100,37340
1636455600000,2021-11-09 11:00:00,ETH/USDT,4798.91000000,4801.94000000,4753.46000000,4774.61000000,18795.14010000,89763855.33640000,59226
1636452000000,2021-11-09 10:00:00,ETH/USDT,4815.97000000,4816.42000000,4796.18000000,4798.90000000,9429.58710000,45314555.36060100,28802
1636448400000,2021-11-09 09:00:00,ETH/USDT,4808.95000000,4822.97000000,4801.24000000,4815.98000000,9527.06200000,45821138.53147700,28114
1636444800000,2021-11-09 08:00:00,ETH/USDT,4783.96000000,4810.17000000,4772.04000000,4808.94000000,10764.02110000,51578787.23231400,33922
1636441200000,2021-11-09 07:00:00,ETH/USDT,4812.54000000,4819.11000000,4775.77000000,4783.96000000,12296.65690000,59012210.13497600,40152
1636437600000,2021-11-09 06:00:00,ETH/USDT,4825.20000000,4838.28000000,4799.00000000,4812.54000000,13248.91896000,63786349.96071630,69020
1636434000000,2021-11-09 05:00:00,ETH/USDT,4804.59000000,4825.54000000,4802.65000000,4825.21000000,10035.37242000,48303283.28739400,32674
1636430400000,2021-11-09 04:00:00,ETH/USDT,4814.00000000,4814.00000000,4793.31000000,4804.59000000,11584.47940000,55648547.53626800,42158
1636426800000,2021-11-09 03:00:00,ETH/USDT,4787.03000000,4815.00000000,4776.37000000,4814.00000000,16021.82300000,76825251.85125300,43008
1636423200000,2021-11-09 02:00:00,ETH/USDT,4794.00000000,4799.00000000,4777.63000000,4787.04000000,9986.68160000,47835202.31410600,39024
1636419600000,2021-11-09 01:00:00,ETH/USDT,4787.51000000,4803.67000000,4780.00000000,4794.01000000,12306.55030000,58929262.31344100,42393
1636416000000,2021-11-09 00:00:00,ETH/USDT,4807.98000000,4808.96000000,4777.91000000,4787.52000000,17590.32660000,84371493.93400500,59645
1636412400000,2021-11-08 23:00:00,ETH/USDT,4780.05000000,4822.97000000,4763.28000000,4807.98000000,25449.67381000,122231225.48966770,105045
1636408800000,2021-11-08 22:00:00,ETH/USDT,4771.24000000,4781.00000000,4757.09000000,4780.06000000,6876.09890000,32791453.85093300,24361
1636405200000,2021-11-08 21:00:00,ETH/USDT,4758.00000000,4786.43000000,4752.99000000,4771.25000000,11913.87580000,56869242.99480400,29404
1636401600000,2021-11-08 20:00:00,ETH/USDT,4752.00000000,4767.06000000,4732.01000000,4758.01000000,14526.46330000,68988664.24680700,48447
1636398000000,2021-11-08 19:00:00,ETH/USDT,4776.50000000,4788.47000000,4748.68000000,4752.00000000,12094.85070000,57645067.33249700,45503
1636394400000,2021-11-08 18:00:00,ETH/USDT,4782.45000000,4791.39000000,4773.61000000,4776.51000000,9004.48300000,43047293.01877100,34509
1636390800000,2021-11-08 17:00:00,ETH/USDT,4769.40000000,4793.98000000,4767.54000000,4782.44000000,14780.86246000,70727279.65941960,56050
1636387200000,2021-11-08 16:00:00,ETH/USDT,4763.78000000,4785.10000000,4750.00000000,4769.40000000,21739.07430000,103616120.39629150,57243
1636383600000,2021-11-08 15:00:00,ETH/USDT,4713.08000000,4777.22000000,4709.62000000,4763.77000000,18944.37685000,90016157.81508440,61179
1636380000000,2021-11-08 14:00:00,ETH/USDT,4715.78000000,4734.06000000,4703.83000000,4713.08000000,13759.08160000,64906079.49272100,42355
