,tickers,rec
501,HIBB,15
502,HIMX,10
503,HOLX,14
504,HMST,12
505,HTBI,11
506,HOPE,15
507,HRZN,15
508,QYLD,11
509,TWNK,15
510,HOVNP,15
511,HUBG,15
512,HSON,16
513,HBANP,11
514,HBAN,14
515,HURC,12
516,HURN,14
517,HCM,11
518,IAC,10
519,ICCH,14
520,ICLR,13
521,IESC,13
522,IIVI,10
523,IPGP,13
524,IEP,15
525,INVE,14
526,RXDX,14
527,IMMR,15
528,IMRN,11
529,IBCP,14
530,IBTX,15
531,INFI,14
532,IMKTA,12
533,IOSP,15
534,ISSC,11
535,INVA,11
536,INGN,15
537,INO,14
538,INPX,13
539,INSG,13
540,NSIT,13
541,INSM,15
542,INSE,15
543,IART,12
544,INMD,14
545,NTLA,13
546,IPAR,12
547,INTG,14
548,LINK,12
549,IBOC,15
550,INTU,15
551,ISRG,14
552,ISTR,15
553,ITIC,12
554,NVIV,13
555,IONS,15
556,IRMD,13
557,IRTC,14
558,IRWD,14
559,EUFN,11
560,ISLE,13
561,ITI,14
562,ITRI,14
563,IZEA,11
564,JBHT,16
565,MAYS,15
566,JAKK,12
567,JKHY,15
568,JRVR,14
569,JSMD,15
570,JAZZ,15
571,JBLU,12
572,JCTCF,11
573,JOUT,14
574,JYNT,13
575,JNCE,13
576,KLAC,14
577,KALU,11
578,KMDA,13
579,KPTI,12
580,KMPH,12
581,KEQU,14
582,KTCC,10
583,KBAL,14
584,KINS,11
585,KIRK,11
586,KOSS,13
587,KHC,14
588,KTOS,15
589,KLIC,14
590,KURA,14
591,FSTR,14
592,LCNB,11
593,LGIH,12
594,LPLA,15
595,LYTS,13
596,LJPC,14
597,LBAI,15
598,LKFN,16
599,LRCX,15
600,LAMR,15
601,LANC,15
602,LCAHU,11
603,LNDC,14
604,LE,14
605,LSTR,14
606,LNTH,14
607,LTRX,15
608,LSCC,15
609,LMAT,14
610,LPTX,13
611,TREE,11
612,LBRDA,13
613,LBRDK,13
614,LBTYA,11
615,LILA,12
616,LILAK,12
617,LBTYK,11
618,FWONA,14
619,FWONK,14
620,LSXMA,16
621,LSXMB,14
622,LTRPB,12
623,LTRPA,13
624,LGND,14
625,LTBR,15
626,LMB,13
627,LMNR,13
628,LIND,13
629,LQDT,16
630,LIVN,12
631,LOB,14
632,LOGI,12
633,CNCR,14
634,LOOP,14
635,LULU,13
636,MEIP,10
637,MKSI,14
638,MGNX,12
639,MDGL,13
640,MHLD,14
641,MLVF,12
642,TUSK,15
643,MNKD,15
644,MANT,12
645,MARA,14
646,MCHX,13
647,MRNS,11
648,MKTX,13
649,MRTN,15
650,MASI,13
651,MPAC,14
652,MTRX,11
653,MGRC,15
654,MTBC,12
655,MNOV,12
656,MDGS,11
657,MDWD,14
658,VIVO,14
659,MEOH,10
660,MDXG,13
661,MSTR,14
662,MU,13
663,MICT,14
664,MSFT,15
665,MVIS,11
666,MTP,14
667,MSEX,15
668,MRTX,14
669,MIND,13
670,MITK,14
671,MCRI,14
672,MDLZ,15
673,MGI,15
674,MNRO,16
675,MORN,14
676,MOXC,13
677,MFLX,10
678,BITS,12
679,MYGN,15
680,NEWT,13
681,NVEE,15
682,NVEC,14
683,NVDA,11
684,NXPI,15
685,NNDM,14
686,NSTG,11
687,NH,14
688,NSSC,15
689,NTRA,14
690,NKSH,12
691,NCMI,14
692,NAII,11
693,NHTC,13
694,NAVI,14
695,NKTR,15
696,NEO,13
697,NVCN,14
698,NEPT,10
699,NTAP,14
700,NTGR,14
701,NTWK,11
702,NFLX,13
703,NBIX,15
704,NYMT,13
705,NWSA,13
706,NWS,13
707,NXST,15
708,NICE,15
709,NDLS,11
710,NSYS,14
711,NTIC,13
712,NTRS,12
713,NRIM,11
714,NWBI,15
715,NVMI,15
716,NOVN,14
717,NOVT,14
718,NTNX,12
719,QQQX,13
720,NYMX,11
721,OFS,12
722,OPNT,13
723,OSIS,15
724,OCUL,13
725,ODP,14
726,OVBC,14
727,OKTA,12
728,ODFL,14
729,ONB,15
730,ZEUS,10
731,OFLX,15
732,OMER,14
733,ONTX,12
734,STKS,12
735,OPGN,14
736,OPEN,12
737,OPHC,13
738,OSUR,13
739,ORMP,14
740,ONVO,12
741,SEED,15
742,OSTK,12
743,OVID,11
744,OXLCN,9
745,OXLCO,12
746,OXLCP,15
747,PTSI,15
748,PCTI,14
749,PDCE,12
750,PTCT,15
751,PACW,12
752,PACB,14
753,PCRX,11
754,PZZA,11
755,FRSH,14
756,PRTK,15
757,PCYG,15
758,PKBK,15
759,PTNR,15
760,PATK,14
761,PATI,14
762,PTEN,13
763,PCTY,15
764,PYPL,15
765,PENN,15
766,PWOD,12
767,PEBO,15
768,PPIH,12
769,PETS,12
770,PNFP,15
771,PPSI,14
772,PLYA,12
773,PLXS,15
774,PLBC,12
775,POLA,15
776,COOL,15
777,POOL,12
778,BPOP,15
779,PCH,11
780,POWI,14
781,PKW,15
782,PIE,13
783,PDP,14
784,PYZ,14
785,PEZ,15
786,PSL,15
787,PXI,15
788,PFI,15
789,PRN,15
790,PTF,15
791,PNQI,14
792,KBWD,14
793,IPKW,11
794,IDLB,11
795,PIO,14
796,PID,13
797,KBWB,14
798,PSCE,15
799,PSCH,13
800,PSCT,14
801,PSCD,14
802,VRIG,13
803,PIZ,11
804,PRAA,11
805,PLPC,16
806,PINC,15
807,BTEC,15
808,GENY,12
809,PSC,15
810,PDEX,12
811,PRPH,14
812,PRQR,13
813,BIB,13
814,TQQQ,15
815,PFIE,12
816,PTGX,12
817,PRTA,13
818,PMD,14
819,PLSE,11
820,PBYI,13
821,PCYO,15
822,SNLN,13
823,PXS,14
824,QCOM,14
825,QRVO,14
826,QLYS,15
827,QRHC,12
828,QNST,14
829,RCM,13
830,RADA,11
831,RDCM,15
832,RVSN,11
833,RGCO,15
834,RMR,13
835,RDNT,15
836,RDWR,12
837,RAVE,15
838,RDI,13
839,RDIB,15
840,RELY,15
841,RNWK,12
842,UK,12
843,RRR,15
844,RDHL,13
845,REGN,13
846,RGNX,13
847,MARK,13
848,RNST,15
849,RCII,14
850,RENT,12
851,RGEN,15
852,RPRX,15
853,REFR,15
854,RWLK,14
855,RIGL,12
856,RVSB,13
857,RMTI,11
858,ROST,14
859,RBCN,15
860,RYAAY,12
861,EMIF,13
862,SAGE,16
863,SCYX,14
864,SEIC,15
865,SGBX,15
866,SLM,10
867,SLMBP,14
868,SPBC,14
869,SP,15
870,SGRP,14
871,SSNC,11
872,SIVB,13
873,SABR,14
874,SAFT,15
875,SAIA,13
876,SALM,12
877,SASR,13
878,SRPT,14
879,SVRA,11
880,SCSC,14
881,SCHN,12
882,SCHL,15
883,SPNE,12
884,SBCF,15
885,STX,14
886,EYES,14
887,SELB,14
888,SIGI,15
889,LEDS,13
890,SENEB,12
891,MCRB,14
892,SEV,10
893,SMED,15
894,SHEN,15
895,SCVL,13
896,SSTI,14
897,SIEB,12
898,BSRR,14
899,SWIR,14
900,SIFY,13
901,SBNY,12
902,SLAB,13
903,SSNT,13
904,SAMG,15
905,SFNC,13
906,SLP,14
907,SKYW,10
908,SWKS,14
909,SGH,14
910,SCKT,12
911,SOHU,14
912,SLRC,12
913,SEDG,14
914,SLNO,11
915,SNGX,15
916,SNOA,10
917,SRNE,11
918,SOHOB,16
919,SFBC,11
920,SFST,15
921,SMBC,15
922,SPTN,11
923,ANY,11
924,SPI,13
925,SPLK,14
926,SPOK,11
927,SPWH,13
928,FUND,15
929,SFM,14
930,SBLK,13
931,SBUX,15
932,STLD,14
933,SRCL,13
934,STSA,15
935,BANX,12
936,STRS,14
937,STRA,11
938,STRM,14
939,SMMF,15
940,STKL,15
941,SPWR,15
942,RUN,14
943,SPCB,14
944,SUPN,15
945,SRDX,13
946,SGRY,11
947,SYNA,11
948,SNCR,14
949,SNDX,15
950,STRC,12
951,SYPR,12
952,SYRS,14
953,TROW,14
954,TATT,13
955,TTOO,11
956,TCPC,15
957,TFSL,14
958,TGTX,14
959,TPIC,15
960,TCON,12
961,TSRI,15
962,TRHC,14
963,TCMD,11
964,TAIT,14
965,TANH,10
966,TAYD,10
967,TTGT,15
968,ERIC,10
969,TSLA,13
970,TTEK,14
971,TCBI,15
972,TIL,12
973,TSBK,15
974,TIPT,13
975,TTNP,15
976,TRMD,14
977,TSEM,15
978,TW,14
979,TSCO,12
980,TTD,16
981,TACT,11
982,TA,14
983,TZOO,12
984,TRS,14
985,TRMB,15
986,TRIB,14
987,TRIP,16
988,TBK,14
989,TRUP,14
990,FOX,15
991,FOXA,15
992,TWIN,12
993,PRTS,15
994,USEG,10
995,USAK,15
996,UCTT,13
997,ULBI,10
998,UCBI,15
999,UNIT,10
1000,OLED,13
1001,UFPI,14
1002,ULH,14
1003,UVSP,13
1004,UONEK,14
1005,UONE,14
1006,URBN,13
1007,URGN,14
1008,VBIV,14
1009,WOOF,12
1010,VOXX,14
1011,VSEC,14
1012,BBH,13
1013,PPH,15
1014,VCIT,13
1015,VIGI,12
1016,VNQI,11
1017,VYMI,11
1018,VCLT,14
1019,VMBS,13
1020,VTWG,15
1021,VTHR,15
1022,VONE,15
1023,VCSH,14
1024,VXUS,11
1025,VWOB,13
